id,name,price,category,stock
1,Samsung Galaxy S22 Smartphone,799.99,Electronics,150
2,Apple MacBook Pro 14" (2021),1999.99,Electronics,80
3,Fitbit Versa 3 Smartwatch,229.99,Accessories,200
4,Dyson V11 Vacuum Cleaner,599.99,Home Appliances,50
5,Zara Leather Jacket,149.99,Clothing,120
6,Shure SM7B Microphone,399.99,Accessories,60
7,Nike Air Max 270 Sneakers,129.99,Clothing,200
8,Canon EOS 5D Mark IV Camera,2499.99,Electronics,35
9,LG OLED 55" TV,1799.99,Electronics,40
10,Weber Spirit II Gas Grill,499.99,Home Appliances,15
11,Book "The Shadow of the Wind",14.99,Books,300
12,Casio G-Shock Watch,79.99,Accessories,500
13,Ray-Ban Aviator Sunglasses,139.99,Accessories,250
14,Samsung Galaxy Tab S7 Tablet,649.99,Electronics,100
15,Monstera Indoor Plant,29.99,Home Decor,80
16,Bose SoundLink Speaker,199.99,Electronics,120
17,North Face Winter Jacket,249.99,Clothing,90
18,Playstation 5 Console,499.99,Video Games,200
19,Airpods Pro 2,249.99,Electronics,500
20,Dxracer Gaming Chair,299.99,Furniture,75
